emission energy,singlet,doublet,triplet,quartet,quintet
7070.1,0.006268,0.0066838,0.007067,0.0076853,0.0073814
7070.2,0.0062246,0.0066656,0.0068762,0.0076021,0.0071299
7070.3,0.0061813,0.006655,0.0066878,0.0075204,0.0068784
7070.4,0.0060896,0.0066233,0.006504,0.0074485,0.0067196
7070.5,0.0059441,0.0065694,0.0063225,0.0073845,0.0066006
7070.6,0.0057845,0.006513,0.0062381,0.0073133,0.0064815
7070.7,0.0056331,0.0063833,0.0062571,0.0072007,0.0063662
7070.8,0.0055068,0.0062427,0.0062135,0.0070888,0.0062597
7070.9,0.0053938,0.006055,0.0060355,0.0069858,0.0061532
7071,0.0052809,0.0058121,0.0057871,0.0068907,0.0060466
7071.1,0.0052102,0.0055626,0.0057236,0.0067884,0.0059808
7071.2,0.0051686,0.0056878,0.0058563,0.0066445,0.0059149
7071.3,0.005127,0.0058665,0.0058989,0.0065017,0.0058491
7071.4,0.0050917,0.0058833,0.0057491,0.0063697,0.0057955
7071.5,0.0050634,0.0057093,0.0054985,0.006247,0.0057473
7071.6,0.005037,0.0055128,0.0053578,0.0061173,0.005699
7071.7,0.0050067,0.0055485,0.0053335,0.0059473,0.005618
7071.8,0.0049648,0.0056174,0.0053042,0.0057963,0.005461
7071.9,0.0049167,0.0055635,0.0052616,0.005778,0.0053039
7072,0.0048686,0.00536,0.0052116,0.0058801,0.0051469
7072.1,0.0048993,0.0051402,0.0051235,0.0059216,0.0050383
7072.2,0.004984,0.0050695,0.0049958,0.0056336,0.0049297
7072.3,0.0050688,0.0050186,0.0048773,0.0053763,0.0048212
7072.4,0.0050376,0.0049726,0.0047779,0.0053262,0.0047103
7072.5,0.0048773,0.0049322,0.0046881,0.0054526,0.0045986
7072.6,0.004683,0.0048925,0.0046722,0.0055329,0.0044868
7072.7,0.0045057,0.0048788,0.0047352,0.0053481,0.0043862
7072.8,0.0043801,0.004869,0.004753,0.0051687,0.0043116
7072.9,0.0042818,0.0048793,0.0046766,0.0050519,0.0042369
7073,0.0041836,0.0049119,0.0045524,0.0049875,0.0041623
7073.1,0.0041125,0.0049471,0.0044089,0.0049378,0.0041484
7073.2,0.00406,0.0047886,0.0042447,0.0049726,0.0041345
7073.3,0.0040075,0.0046025,0.004131,0.0049983,0.0041206
7073.4,0.0040025,0.0044356,0.0041202,0.0049562,0.0041236
7073.5,0.0040503,0.0042904,0.0041616,0.0048573,0.0041339
7073.6,0.0041122,0.0041512,0.0042027,0.0047497,0.0041442
7073.7,0.0041572,0.0041793,0.0042433,0.0045973,0.0041393
7073.8,0.0041514,0.0042295,0.0042556,0.004445,0.0040991
7073.9,0.0041187,0.0042535,0.0042085,0.0042937,0.0040588
7074,0.004086,0.0042467,0.0041305,0.0041432,0.0040186
